,coords,geometry,net,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,plz
114,"[[10.852480398546417, 49.15992511630581], [10.852441999994092, 49.15996259003952]]","LINESTRING (10.852480398546417 49.15992511630581, 10.852441999994092 49.15996259003952)",8,Line to 1298,NYY 4x16 SE,46,103,0.009762770361375,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
115,"[[10.852890015143716, 49.15990167024791], [10.852888127343718, 49.16021440643676]]","LINESTRING (10.852890015143716 49.15990167024791, 10.852888127343718 49.16021440643676)",8,Line to 1300,NYY 4x16 SE,59,104,0.040484291065926,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
116,"[[10.852347507405169, 49.1599327225402], [10.852327327997472, 49.16010757069051]]","LINESTRING (10.852347507405169 49.1599327225402, 10.852327327997472 49.16010757069051)",8,Line to 2087,NYY 4x16 SE,43,175,0.025094854180062,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
117,"[[10.852480398546417, 49.15992511630581], [10.852890015143716, 49.15990167024791]]","LINESTRING (10.852480398546417 49.15992511630581, 10.852890015143716 49.15990167024791)",8,Line to 1301,NYY 4x35 SE,46,59,0.029996554734827,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
118,"[[10.852347507405169, 49.1599327225402], [10.852480398546417, 49.15992511630581]]","LINESTRING (10.852347507405169 49.1599327225402, 10.852480398546417 49.15992511630581)",8,Line to 1299,NYY 4x35 SE,43,46,0.00973171968858,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
119,"[[10.850268400890771, 49.16111906629231], [10.850268400890771, 49.16116906629231], [10.850150199999996, 49.161059096676816], [10.850119900000005, 49.16088719667676], [10.850539097688012, 49.160685199084526], [10.850568871725956, 49.16067568880808], [10.850715864444544, 49.160621072497065], [10.85132686246055, 49.160375819319384], [10.851433615848546, 49.160333256884385], [10.851467357540109, 49.160319804079975], [10.851582500000003, 49.16027389667662], [10.852168000000006, 49.15994299667649], [10.852347507405169, 49.1599327225402]]","LINESTRING (10.850268400890771 49.16111906629231, 10.850268400890771 49.16116906629231, 10.850150199999996 49.161059096676816, 10.850119900000005 49.16088719667676, 10.850539097688012 49.160685199084526, 10.850568871725956 49.16067568880808, 10.850715864444544 49.160621072497065, 10.85132686246055 49.160375819319384, 10.851433615848546 49.160333256884385, 10.851467357540109 49.160319804079975, 10.851582500000003 49.16027389667662, 10.852168000000006 49.15994299667649, 10.852347507405169 49.1599327225402)",8,Line to 2088,NYY 4x35 SE,0,43,0.232161798278085,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
120,"[[10.850502476673032, 49.1621597737451], [10.850413922664657, 49.16199523754451]]","LINESTRING (10.850502476673032 49.1621597737451, 10.850413922664657 49.16199523754451)",8,Line to 1341,NYY 4x16 SE,51,117,0.012422935227411,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
121,"[[10.850416700000004, 49.1621710966771], [10.850023205896344, 49.16200990507816]]","LINESTRING (10.850416700000004 49.1621710966771, 10.850023205896344 49.16200990507816)",8,Line to 1350,NYY 4x16 SE,55,121,0.027373497427373,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
122,"[[10.850416700000004, 49.1621710966771], [10.850177887384012, 49.16233855903935]]","LINESTRING (10.850416700000004 49.1621710966771, 10.850177887384012 49.16233855903935)",8,Line to 1351,NYY 4x16 SE,55,122,0.028133229522032,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
123,"[[10.850936241409928, 49.1621025136369], [10.850947371251362, 49.16226338510496]]","LINESTRING (10.850936241409928 49.1621025136369, 10.850947371251362 49.16226338510496)",8,Line to 1352,NYY 4x16 SE,39,123,0.024482873545603,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
124,"[[10.851302635005915, 49.1620455462515], [10.851306831620313, 49.1621080281648]]","LINESTRING (10.851302635005915 49.1620455462515, 10.851306831620313 49.1621080281648)",8,Line to 1496,NYY 4x16 SE,33,144,0.013758538612453,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
