bid,footprint_area,PV_cap_kW,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap,,,,,,,,,,,
159,179.12,17.912,3,4,48.201,11.548,0,6,1,2,358.25,0.84,300.93,41.84,1,300.93,1,2,1,1,1,337.74,76.74,60454764.98,145856.61,20,0,23,0.11,0.16,26632835.63,7150383.64,106788,88501.76,23760.95,354.86,2680305.15,42.57,29313140.78,97408.5,2910090
160,138.63,13.863,3,4,48.205,11.56,0,6,1,2,277.26,0.84,232.9,32.38,2,116.45,3,1,1,1,1,275.4,59.39,46788187.51,139752,21,0,23,0.12,0.18,22543707.71,5954202.41,311200,96795.65,25565.49,1336.2,2818174.43,45.02,25361882.14,108896.02,5082914
161,188.85,18.885,3,4,48.205,11.56,0,6,1,2,377.71,0.84,317.27,44.11,2,158.64,7,1,2,1,1,305.81,80.9,63738311.78,164818.56,20,0,23,0.17,0.26,24889868.99,7023153.55,665876,78450.12,22136.2,2098.77,3701976.03,58.93,28591845.02,90118.34,7645583
162,71.29,7.129,3,4,48.213,11.547,0,6,1,2,142.58,0.84,119.77,16.65,1,119.77,1,1,1,1,1,141.63,30.54,24060583.31,139752,18,0,23,0.02,0.03,10255166.63,2108024.44,105728,85623.83,17600.6,882.76,1004723.99,16,11259890.62,94012.61,1436535
163,141.86,14.186,3,4,48.205,11.56,0,6,1,2,283.73,0.84,238.33,33.14,2,119.16,5,1,1,2,1,281.82,60.77,47878878.08,139752,22,0,23,0.16,0.23,23815283.55,6421947.12,514542,99925.66,26945.61,2158.95,3585601.68,57.14,27400885.23,114970.36,6830430
164,97.51,9.751,3,4,48.214,11.545,0,6,1,2,195.01,0.84,163.81,22.78,2,81.9,4,1,1,1,2,159.54,41.77,32908060.91,163469.15,18,0,23,0.01,0.02,11930280.73,2549564.88,370452,72829.99,15564.16,2261.47,693723.25,11.04,12624003.98,77064.92,4887210
165,177.36,17.736,3,4,48.213,11.547,0,6,1,2,354.73,0.84,297.97,41.43,2,148.99,2,1,1,2,1,352.35,75.98,59860787.73,139752,19,0,23,0.02,0.04,28032206.98,5389945.22,201342,94077.28,18088.89,675.71,937702.17,14.9,28969909.15,97224.25,4348311
166,157.62,15.762,3,4,48.201,11.547,0,6,1,2,315.25,0.84,264.81,36.82,2,132.4,7,2,1,1,1,297.2,67.53,53198014.62,145856.61,20,0,23,0.07,0.11,23509500.47,6259338.25,684156,88778.75,23637.09,2583.57,1922336.1,30.59,25431836.57,96038.05,7251258
167,296.19,29.619,3,4,48.202,11.563,0,6,2,3,888.56,0.84,746.39,99.6,8,93.3,8,1,1,2,2,627.2,126.89,121243725.4,160781.86,18,0,23,0.76,1.14,44245122.93,10786935.9,730650,59278.83,14452.14,978.91,14370914.25,228.86,58616037.18,78532.72,15453112
168,198.77,19.877,3,4,48.203,11.563,0,6,2,3,596.32,0.84,500.91,66.84,5,100.18,8,1,1,1,1,567.11,85.15,81367582.95,124746.32,20,0,23,0.28,0.43,41964182.43,11285391.43,823162,83775.89,22529.78,1643.33,5690198.02,90.54,47654380.45,95135.61,11935634
169,96.82,9.682,3,4,48.195,11.549,0,6,2,3,290.46,0.84,243.98,32.56,2,121.99,4,1,2,1,1,189.83,41.48,39632485.19,171343.81,20,0,23,0.09,0.14,14313468.75,5149682.63,387736,58666.57,21106.99,1589.21,2229168.35,35.56,16542637.1,67803.25,5463187
170,129.96,12.996,3,4,48.204,11.563,0,6,2,3,389.88,0.84,327.5,43.7,3,109.17,7,2,1,1,1,342.4,55.68,53199371.01,133640.93,18,0,23,0.28,0.42,23045685.43,5187286.8,678198,70368.51,15839.04,2070.83,5738994.73,91.61,28784680.16,87892.15,7814604
